region_title;questions_consideration_is_completed;questions_consideration_in_progress;federal_questions;regional_questions;municipal_questions;prev_prev_total_appeals;prev_total_appeals;total_appeals;prev_prev_total_questions;prev_total_questions;total_questions
Российская Федерация;1185036;730226;1353561;307330;254360;2294225;2137366;1805031;2424431;2274380;1915262
Алтайский край;12450;4172;10842;3460;2320;19236;19382;16372;19548;19659;16622
Амурская область;3707;1838;4079;645;821;8106;6769;5494;8172;6838;5545
Архангельская область;4865;1883;4499;1033;1216;10568;9531;6701;10634;9609;6748
Астраханская область;3272;2069;2853;984;1504;8408;7004;5047;8732;7387;5341
Белгородская область;5171;3587;4724;1265;2769;12897;10685;8480;13213;10997;8758
Брянская область;4925;1376;4931;785;585;11134;8912;6246;11199;8967;6301
Владимирская область;8268;3552;5610;3129;3081;14059;16736;11553;14279;17532;11820
Волгоградская область;13169;7136;13170;4215;2920;25361;20012;19746;26145;20367;20305
Вологодская область;8615;4134;4815;3214;4720;17318;15792;12633;18452;15988;12749
Воронежская область;11200;4532;9418;2660;3654;22421;19811;15456;22909;20189;15732
г. Москва;419073;328284;688346;58989;22;775141;752630;669459;861492;847098;747357
г. Санкт-Петербург;49832;26797;44635;29666;2328;98027;86286;75441;99866;87959;76629
г. Севастополь;2032;2543;1901;2439;235;5825;4638;4174;6112;4671;4575
Еврейская автономная область;1008;423;619;345;467;1497;1536;1390;1516;1564;1431
Забайкальский край;4346;1101;3972;1144;331;7521;6501;5195;7794;6801;5447
Ивановская область;4928;2285;4181;1773;1259;10654;9359;7042;10825;9529;7213
Иркутская область;14696;4645;13240;4909;1192;24606;24053;18643;24984;24893;19341
Кабардино-Балкарская Республика;2302;1185;1666;774;1047;4184;3829;3436;4228;3876;3487
Калининградская область;6769;3300;8963;747;359;11564;11159;10011;11664;11240;10069
Калужская область;5549;3243;5279;2148;1365;10538;10213;8347;11120;10733;8792
Камчатский край;2408;997;2050;819;536;3812;4085;3370;3893;4112;3405
Карачаево-Черкесская Республика;909;609;1072;193;253;2028;1895;1501;2077;1955;1518
Кемеровская область;12245;5903;10757;2451;4940;26144;22132;17614;26840;22724;18148
Кировская область;5830;2281;5387;1436;1288;14625;10749;7614;15338;11441;8111
Костромская область;3745;1886;3306;1051;1274;8285;7355;5528;8398;7503;5631
Краснодарский край;37012;21026;26006;15797;16235;70780;64389;54614;75222;68936;58038
Красноярский край;20561;6401;17481;5418;4063;36072;35481;26239;36957;36276;26962
Курганская область;5634;2316;2906;1932;3112;9976;9969;7553;10475;10531;7950
Курская область;8464;4801;6288;3881;3096;17894;15172;12148;19361;16563;13265
Ленинградская область;7845;3570;7927;102;3386;11538;11621;11388;11622;11669;11415
Липецкая область;6624;3374;4959;2689;2350;12369;12139;9767;12667;12419;9998
Магаданская область;946;317;905;312;46;2093;1860;1253;2115;1888;1263
Московская область;81064;49298;66022;36042;28298;159179;154816;129150;161636;157857;130362
Мурманская область;7659;2857;4586;2812;3118;12679;14045;10229;12886;14483;10516
Ненецкий автономный округ;317;165;204;141;137;639;547;478;644;552;482
Нижегородская область;19677;8981;15291;4086;9281;40952;37224;28360;41371;37624;28658
Новгородская область;3180;991;2576;666;929;6144;5080;4106;6240;5204;4171
Новосибирская область;25482;11346;19600;5745;11483;45824;41959;35902;47001;43192;36828
Омская область;13242;11604;12079;5426;7341;22020;23387;22508;23726;25525;24846
Оренбургская область;6755;4586;6415;3512;1414;17192;15091;11086;17459;15361;11341
Орловская область;4706;2398;3415;1551;2138;9440;8821;6909;9733;9091;7104
Пензенская область;4531;2198;4011;1509;1209;11481;9071;6624;11637;9251;6729
Пермский край;16896;8914;14233;3817;7760;26791;26538;24525;28359;28210;25810
Приморский край;8608;5027;9652;522;3461;16748;16686;12887;17471;17536;13635
Псковская область;2847;747;2378;442;774;5124;4786;3556;5156;4836;3594
Республика Адыгея;772;453;950;55;220;1818;1854;1214;1822;1866;1225
Республика Алтай;791;309;475;447;178;1544;1231;1084;1559;1240;1100
