region_title;total_appeals;delta_appeals;total_questions;delta_questions;total_orgs;delta_orgs;total_subjects;delta_subjects;questions_per_appeal;delta_questions_per_appeal;questions_per_1000_people;delta_questions_per_1000_people
Российская Федерация;1805031;-332335;1915262;-359118;20234;-478;50086;-2944;1.061068757;-0.000389713;0.013035695;-0.000001976
Алтайский край;16372;-3010;16622;-3037;327;2;714;-33;1.015269970;0.000978360;0.000007070;-0.000001300
Амурская область;5494;-1275;5545;-1293;163;-1;504;-46;1.009282850;-0.000910680;0.000006940;-0.000001620
Архангельская область;6701;-2830;6748;-2861;218;-33;510;-67;1.007013880;-0.001169940;0.000005840;-0.000002480
Астраханская область;5047;-1957;5341;-2046;157;5;464;-10;1.058252430;0.003569390;0.000005250;-0.000002010
Белгородская область;8480;-2205;8758;-2239;434;0;608;-9;1.032783020;0.003583210;0.000005650;-0.000001450
Брянская область;6246;-2666;6301;-2666;125;-8;474;-26;1.008805640;0.002634190;0.000005200;-0.000002200
Владимирская область;11553;-5183;11820;-5712;232;-14;631;-31;1.023110880;-0.024451260;0.000008580;-0.000004140
Волгоградская область;19746;-266;20305;-62;334;-8;715;-56;1.028309530;0.010570170;0.000008050;-0.000000030
Вологодская область;12633;-3159;12749;-3239;237;-3;659;-91;1.009182300;-0.003229050;0.000010830;-0.000002760
Воронежская область;15456;-4355;15732;-4457;498;2;710;-27;1.017857140;-0.001223170;0.000006740;-0.000001910
г. Москва;669459;-83171;747357;-99741;389;-10;1470;-53;1.116359630;-0.009157560;0.000059760;-0.000007970
г. Санкт-Петербург;75441;-10845;76629;-11330;363;-11;1028;-62;1.015747410;-0.003641600;0.000014320;-0.000002110
г. Севастополь;4174;-464;4575;-96;67;-9;513;51;1.096070920;0.088955780;0.000010480;-0.000000220
Еврейская автономная область;1390;-146;1431;-133;70;-9;317;-15;1.029496400;0.011267230;0.000008830;-0.000000820
Забайкальский край;5195;-1306;5447;-1354;143;4;517;-43;1.048508180;0.002361430;0.000005080;-0.000001260
Ивановская область;7042;-2317;7213;-2316;166;-10;540;-34;1.024282870;0.006118540;0.000007110;-0.000002280
Иркутская область;18643;-5410;19341;-5552;262;-17;756;-19;1.037440330;0.002517450;0.000008040;-0.000002310
Кабардино-Балкарская Республика;3436;-393;3487;-389;130;-4;399;-30;1.014842840;0.002568090;0.000004030;-0.000000450
Калининградская область;10011;-1148;10069;-1171;109;4;496;-17;1.005793630;-0.001465080;0.000010120;-0.000001180
Калужская область;8347;-1866;8792;-1941;189;0;539;-43;1.053312570;0.002397070;0.000008690;-0.000001910
Камчатский край;3370;-715;3405;-707;91;-1;412;-18;1.010385760;0.003776210;0.000010790;-0.000002240
