region_title;rank;rank;subject;questions;share
Алтайский край;1;1;Налог на имущество;813;0.048911081698953
Алтайский край;2;2;Налог на доходы физических лиц;793;0.047707857056913
Алтайский край;3;3;Организация работы с налогоплательщиками;622;0.037420286367465
Алтайский край;4;4;Транспортный налог;566;0.034051257369751
Алтайский край;5;5;Привлечение к административной ответственности;523;0.031464324389363
Алтайский край;6;6;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;512;0.030802550836241
Алтайский край;7;7;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;457;0.027493683070629
Алтайский край;8;8;Учет налогоплательщиков. Получение и отказ от ИНН;433;0.026049813500180
Алтайский край;9;9;Оплата жилищно-коммунальных услуг (ЖКХ), взносов в Фонд капитального ремонта;379;0.022801106966671
Алтайский край;10;10;Перерасчет размеров пенсий Подвопрос: по старости;303;0.018228853326916
Амурская область;1;1;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;421;0.075924256086564
Амурская область;2;2;Налог на доходы физических лиц;396;0.071415689810640
Амурская область;3;3;Права и свободы человека и гражданина;231;0.041659152389540
Амурская область;4;4;Организация работы с налогоплательщиками;224;0.040396753832281
Амурская область;5;5;Транспортный налог;186;0.033543733092876
Амурская область;6;6;Надзор и контроль за соблюдением трудового законодательства;161;0.029035166816952
Амурская область;7;7;Налог на имущество;148;0.026690712353472
Амурская область;8;8;Деятельность органов дознания и следствия;112;0.020198376916141
Амурская область;9;9;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;109;0.019657348963030
Амурская область;10;10;Земельный налог;103;0.018575293056808
Архангельская область;1;1;Налог на доходы физических лиц;567;0.084024896265560
Архангельская область;2;2;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;416;0.061647895672792
Архангельская область;3;3;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;373;0.055275637225845
Архангельская область;4;4;Организация работы с налогоплательщиками;326;0.048310610551274
Архангельская область;5;5;Учет налогоплательщиков. Получение и отказ от ИНН;199;0.029490219324244
Архангельская область;6;6;Транспортный налог;194;0.028749259039715
Архангельская область;7;7;Актуализация сведений об объектах налогообложения;188;0.027860106698281
Архангельская область;8;8;Налог на имущество;169;0.025044457617072
Архангельская область;9;9;Содержание общего имущества (канализация, вентиляция, кровля, ограждающие конструкции, инженерное оборудование, места общего пользования, придомовая территория);167;0.024748073503260
Архангельская область;10;10;Представление дополнительных документов и материалов;123;0.018227622999407
Астраханская область;1;1;Организация работы с налогоплательщиками;317;0.059352181239468
Астраханская область;2;2;Налог на доходы физических лиц;288;0.053922486425763
Астраханская область;3;3;Комплексное благоустройство;204;0.038195094551582
Астраханская область;4;4;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;204;0.038195094551582
Астраханская область;5;5;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;197;0.036884478562067
Астраханская область;6;6;Мелиорация;196;0.036697247706422
Астраханская область;7;7;Налог на имущество;179;0.033514323160457
Астраханская область;8;8;Социальное обеспечение, социальная поддержка и социальная помощь семьям, имеющим детей, в том числе многодетным семьям и одиноким родителям, гражданам пожилого возраста, гражданам, находящимся в трудной жизненной ситуации, малоимущим гражданам;176;0.032952630593522
Астраханская область;9;9;Транспортный налог;172;0.032203707170942
Астраханская область;10;10;Актуализация сведений об объектах налогообложения;128;0.023965549522561
Белгородская область;1;1;Организация работы с налогоплательщиками;840;0.095912308746289
Белгородская область;2;2;Налог на доходы физических лиц;471;0.053779401689884
Белгородская область;3;3;Комплексное благоустройство;297;0.033911852021009
Белгородская область;4;4;Права и свободы человека и гражданина;259;0.029572961863439
Белгородская область;5;5;Содержание общего имущества (канализация, вентиляция, кровля, ограждающие конструкции, инженерное оборудование, места общего пользования, придомовая территория);200;0.022836263987212
Белгородская область;6;6;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;198;0.022607901347340
Белгородская область;7;7;Вопросы возбуждения уголовных дел;197;0.022493720027404
Белгородская область;8;8;Строительство и реконструкция дорог;156;0.017812285910025
Белгородская область;9;9;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;150;0.017127197990409
Белгородская область;10;10;Социальное обеспечение, социальная поддержка и социальная помощь семьям, имеющим детей, в том числе многодетным семьям и одиноким родителям, гражданам пожилого возраста, гражданам, находящимся в трудной жизненной ситуации, малоимущим гражданам;141;0.016099566110984
Брянская область;1;1;Организация работы с налогоплательщиками;596;0.094588160609427
Брянская область;2;2;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;298;0.047294080304714
Брянская область;3;3;Права и свободы человека и гражданина;294;0.046659260434852
Брянская область;4;4;Налог на доходы физических лиц;272;0.043167751150611
Брянская область;5;5;Налог на имущество;255;0.040469766703698
Брянская область;6;6;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;243;0.038565307094112
Брянская область;7;7;Учет налогоплательщиков. Получение и отказ от ИНН;206;0.032693223297889
Брянская область;8;8;Транспортный налог;197;0.031264878590700
Брянская область;9;9;Деятельность органов дознания и следствия Подвопрос: безналичные денежные средства;133;0.021107760672909
Брянская область;10;10;Надзор и контроль за соблюдением трудового законодательства;129;0.020472940803047
Владимирская область;1;1;ОСАГО;709;0.059983079526227
Владимирская область;2;2;Налог на доходы физических лиц;619;0.052368866328257
Владимирская область;3;3;Содержание общего имущества (канализация, вентиляция, кровля, ограждающие конструкции, инженерное оборудование, места общего пользования, придомовая территория);502;0.042470389170897
Владимирская область;4;4;Переработка вторичного сырья и бытовых отходов. Полигоны бытовых отходов;492;0.041624365482233
Владимирская область;5;5;Комплексное благоустройство;418;0.035363790186125
Владимирская область;6;6;Оплата жилищно-коммунальных услуг (ЖКХ), взносов в Фонд капитального ремонта;416;0.035194585448393
Владимирская область;7;7;Организация работы с налогоплательщиками;369;0.031218274111675
Владимирская область;8;8;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;310;0.026226734348562
Владимирская область;9;9;Управляющие организации, товарищества собственников жилья и иные формы управления собственностью;241;0.020389170896785
Владимирская область;10;10;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;236;0.019966159052453
Волгоградская область;1;1;Налог на имущество;2283;0.112435360748584
Волгоградская область;2;2;Организация работы с налогоплательщиками;990;0.048756463925142
Волгоградская область;3;3;Правительственная связь и иные виды специальной связи. Фельдъегерская связь;942;0.046392514159074
Волгоградская область;4;4;Деятельность органов дознания и следствия;819;0.040334892883526
Волгоградская область;5;5;Налог на доходы физических лиц;768;0.037823196257080
Волгоградская область;6;6;Лечение и оказание медицинской помощи;633;0.031174587540015
Волгоградская область;7;7;Лекарственное обеспечение;505;0.024870721497168
Волгоградская область;8;8;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;499;0.024575227776410
Волгоградская область;9;9;Транспортный налог;384;0.018911598128540
Волгоградская область;10;10;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;339;0.016695395222852
Вологодская область;1;1;Поступление в образовательные организации Подвопрос: дошкольное образование;1163;0.091222841007138
Вологодская область;2;2;Налог на доходы физических лиц;728;0.057102517844537
Вологодская область;3;3;Права и свободы человека и гражданина;561;0.044003451251079
Вологодская область;4;4;Комплексное благоустройство;344;0.026982508432034
Вологодская область;5;5;Содержание общего имущества (канализация, вентиляция, кровля, ограждающие конструкции, инженерное оборудование, места общего пользования, придомовая территория);327;0.025649070515335
Вологодская область;6;6;Градостроительство. Архитектура и проектирование;254;0.019923131225979
Вологодская область;7;7;Работа медицинских учреждений и их сотрудников;250;0.019609381127932
Вологодская область;8;8;Благоустройство и ремонт подъездных дорог, в том числе тротуаров;244;0.019138755980861
Вологодская область;9;9;Обращение с твердыми коммунальными отходами;204;0.016001255000392
Вологодская область;10;10;Строительство и реконструкция дорог;202;0.015844379951369
Воронежская область;1;1;Организация работы с налогоплательщиками;1204;0.076531909483855
Воронежская область;2;2;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;776;0.049326214085939
Воронежская область;3;3;Права и свободы человека и гражданина;602;0.038265954741927
Воронежская область;4;4;Налог на доходы физических лиц;547;0.034769895753877
Воронежская область;5;5;Деятельность органов дознания и следствия;541;0.034388507500636
Воронежская область;6;6;Комплексное благоустройство;401;0.025489448258327
Воронежская область;7;7;Благоустройство и ремонт подъездных дорог, в том числе тротуаров;322;0.020467836257310
Воронежская область;8;8;Транспортный налог;317;0.020150012712942
Воронежская область;9;9;Задолженность но налогам, сборам и взносам в бюджеты государственных внебюджетных фондов;306;0.019450800915332
Воронежская область;10;10;Налоговые преференции и льготы физическим лицам;267;0.016971777269260
г. Москва;1;1;Органы внутренних дел;312648;0.418338223901027
г. Москва;2;2;Привлечение к административной ответственности;28429;0.038039384122983
г. Москва;3;3;Госавтоинспекция МВД России (ГИБДД);26800;0.035859702926446
г. Москва;4;4;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;24579;0.032887896948848
г. Москва;5;5;Организация работы с налогоплательщиками;22541;0.030160953868098
г. Москва;6;6;Паспортная система;13295;0.017789356358474
г. Москва;7;7;Противодействие преступности;13013;0.017412026648576
г. Москва;8;8;Налог на доходы физических лиц;11169;0.014944664999458
г. Москва;9;9;Государственные и муниципальные услуги (многофункциональные центры) Подвопрос: государственные услуги;10470;0.014009369016414
г. Москва;10;10;Налог на имущество;10256;0.013723026612449
г. Санкт-Петербург;1;1;Налог на доходы физических лиц;7780;0.101528142087199
г. Санкт-Петербург;2;2;Возврат или зачет излишне уплаченных или излишне взысканных сумм налогов, сборов, взносов, пеней и штрафов;7667;0.100053504547887
г. Санкт-Петербург;3;3;Организация работы с налогоплательщиками;4600;0.060029492750786
г. Санкт-Петербург;4;4;Учет налогоплательщиков. Получение и отказ от ИНН;2272;0.029649349462997
